Generated by GetData Graph Digitizer 2.26.0.20 on June 05 2015, 17:25
from file 'C:\Users\Dmitry\Google Диск\!Diplom\Emmiter_Temperature.jpg'

Line #1
 5.85636187612730e-001    1.23835654932351e+003
 1.25279494487948e+000    1.24597280572778e+003
 1.48387084006990e+000    1.25056448596651e+003
 2.14348332861692e+000    1.25639793638575e+003
 2.16818020806329e+000    1.26223257415495e+003
 2.54652268069323e+000    1.26828264998044e+003
 3.61980789996708e+000    1.27184628303389e+003
 3.91822852661082e+000    1.27568148941181e+003
 4.21687782806425e+000    1.27957072021351e+003
 4.51552712951767e+000    1.28345995101522e+003
 4.74363025218214e+000    1.28734931374470e+003
 4.97173337484661e+000    1.29123867647418e+003
 5.34070018027930e+000    1.29507375092432e+003
 5.70989566052169e+000    1.29896284979825e+003
 6.00831628716543e+000    1.30279805617617e+003
 6.30696558861885e+000    1.30668728697787e+003
 6.67593239405155e+000    1.31052236142801e+003
 6.97458169550498e+000    1.31441159222972e+003
 7.34354850093768e+000    1.31824666667986e+003
 7.57165162360214e+000    1.32213602940934e+003
 7.79975474626661e+000    1.32602539213882e+003
 8.52145244564411e+000    1.32985980695009e+003
 9.10205778744369e+000    1.33369448561690e+003
 9.54157077166534e+000    1.33752942813927e+003
 9.91076625190773e+000    1.34141852701320e+003
 1.02799617321501e+001    1.34530762588713e+003
 1.07194747163718e+001    1.34914256840950e+003
 1.10886701966142e+001    1.35303166728343e+003
 1.15989580344345e+001    1.35692050230181e+003
 1.21090171974451e+001    1.36075531289640e+003
 1.24782126776875e+001    1.36464441177033e+003
 1.28474081579299e+001    1.36853351064426e+003
 1.33574673209405e+001    1.37236832123885e+003
 1.38677551587608e+001    1.37625715625724e+003
 1.43780429965811e+001    1.38014599127562e+003
 1.49588770131904e+001    1.38403469436622e+003
 1.56102572085886e+001    1.38792326552905e+003
 1.63319549079661e+001    1.39175768034032e+003
 1.70536526073436e+001    1.39559209515159e+003
 1.78458964855100e+001    1.39942637803508e+003
 1.85675941848875e+001    1.40326079284635e+003
 1.92892918842650e+001    1.40709520765762e+003
 2.00815357624315e+001    1.41092949054111e+003
 2.08032334618090e+001    1.41476390535238e+003
 2.15954773399755e+001    1.41859818823587e+003
 2.27402234372770e+001    1.42237778705670e+003
 2.41669255749248e+001    1.42610283374264e+003
 2.56639452165517e+001    1.42977372407702e+003
 2.70203298502202e+001    1.43355292711452e+003
 2.83767144838886e+001    1.43733213015203e+003
 2.99442803043046e+001    1.44100288855863e+003
 3.18643483438557e+001    1.44461896290257e+003
 3.40659150741335e+001    1.44807243626404e+003
 3.65494378447575e+001    1.45147135749063e+003
 3.89624144365925e+001    1.45487041064499e+003
 4.14461658820262e+001    1.45832335629536e+003
 4.42819621969756e+001    1.46161356903550e+003
 4.81725210716141e+001    1.46409143650217e+003
 4.84579072341056e+001    1.46484725072412e+003
 5.24187836127234e+001    1.46727096183923e+003
 5.61684788045936e+001    1.46980311758525e+003
 6.01996726871907e+001    1.47217267234880e+003
 6.46523142440440e+001    1.47410924015538e+003
 6.95946629058456e+001    1.47507244483935e+003
 7.46052709983393e+001    1.47549527335765e+003
 7.96848245459541e+001    1.47553979898165e+003
 8.47641494187592e+001    1.47553030018186e+003

Line #2
